Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2459813.9583817595,61.0,-32.40167990492423,20.58387603612051,0.4793622860319971,8.000246518518516,138.82008158400532,-3.0078454877158767,-28.852038767544663,25.240193788953846,-2.0142715268062257,0.45927544600253833,6.11,4.62
2459814.2917150925,53.0,-32.95304191128895,20.857494969034487,0.47307155880042373,8.000246518518516,139.39563969586553,-3.0234097334467864,-29.567832817719264,25.346601202512186,-2.0569729056739265,0.9323022937612381,6.11,4.62
2459814.625048426,61.0,-33.51660868448917,21.143463942478952,0.4666735200849642,7.922574222222221,139.9756385969793,-3.03878567624166,-30.30360237873811,25.449706062514593,-2.100778284119569,0.0,6.11,4.62
2459814.9583817595,49.0,-34.09298705736629,21.442620118723248,0.4601657625392641,8.000246518518516,140.5606051177583,-3.0539781585908434,-31.060488782216307,25.54915897072073,-2.1457484820629267,0.4973219006472363,6.11,4.62
2459815.2917150925,59.0,-34.68282556478815,21.75588054179312,0.45354575799797636,8.000246518518516,141.1511009314798,-3.068991662838161,-31.839726805035355,25.644568301001044,-2.1919491194598337,1.0104628473475015,6.11,4.62
2459815.625048426,64.0,-35.286818078652715,22.084251988309443,0.4468108490918775,7.938108681481481,141.74772663947994,-3.083830264198851,-32.642654770830895,25.73549424920011,-2.239451107039651,0.0,6.11,4.62
2459815.9583817595,66.0,-35.90570781343546,22.428842278872995,0.4399582402734438,8.000246518518516,142.35112645833934,-3.098497589359507,-33.47072602102993,25.821441854659923,-2.288331209839892,0.5421247948588971,6.11,4.62
2459816.2917150925,72.0,-36.54029174361419,22.790873437670378,0.43298498777606553,8.000246518518516,142.9619935071806,-3.112996775501277,-34.325521984737975,25.90185289238738,-2.338672695513851,1.1039355115857696,6.11,4.62
2459816.625048426,74.0,-37.19142547307515,23.171696784090695,0.42588798879153056,7.953643140740739,143.5810760694398,-3.1273303433200894,-35.208767129397714,25.976096164723646,-2.39056600871313,0.0,6.11,4.62
2459816.9583817595,78.0,-37.86002856301704,23.5728107258803,0.4186639698156658,8.000246518518516,144.20918451399575,-3.1415002314330036,-36.12234602586363,26.04345625607261,-2.444109681755267,0.5967608741873345,6.11,4.62
